city,block_x,block_y,lst,green_space_share,built_up_share,n_cells,population,water_share,street_tree_share,building_count,mean_building_height,block_area_km2,building_density_km2,heat_percentile,population_percentile,hotspot_score,hotspot,recommended_intervention,longitude,latitude
Amsterdam,1974,1625,29.824991,0.01994044921661228,0.3315697402828841,6,5916.0,0.016572885189130023,0.3748338022295095,4153.0,6.895521561069622,4.789388833647106,867.1252521456903,0.7978142076502732,0.8046448087431693,0.8012295081967213,True,Increase green space,4.545000893990644,52.239994040790144
Amsterdam,1975,1626,30.28833,0.0207785283575269,0.449696140598062,6,11738.0,0.02922824546915405,0.5193648534438228,7835.0,8.011620068939104,4.787935793052241,1636.4045673647806,0.8688524590163934,0.8989071038251366,0.8838797814207651,True,Increase green space,4.57499967370487,52.259998312906546
Amsterdam,1975,1627,29.946665,0.018272446817855968,0.39434990626475486,6,8548.0,0.05562587693140652,0.433258023600774,5227.0,7.698807655502391,4.7867485071201905,1091.97297335027,0.8183060109289617,0.8565573770491803,0.837431693989071,True,Increase green space,4.5749996737226315,52.28000258510074
Amsterdam,1975,1628,30.320002,0.027315783142461015,0.46977372429048697,5,8811.0,0.004359833789323941,0.5960490641917413,5497.0,7.178269335759782,4.0887516671360356,1344.420118292577,0.8702185792349727,0.8647540983606558,0.8674863387978142,True,Increase green space,4.572924220183005,52.29914618332684
Amsterdam,1976,1627,31.41833,0.019827902434705485,0.29699693858990656,6,9641.0,0.016026409743153638,0.33068491916298937,5668.0,7.768122132015531,4.7864815325619805,1184.1683628028507,0.9576502732240437,0.8811475409836066,0.9193989071038251,True,Increase green space,4.6049984534183945,52.280002585022935
Amsterdam,1976,1628,30.518332,0.00958797982035858,0.38829551084892516,6,5127.0,0.019777151277344595,0.4581883395934086,3784.0,7.114747554850648,4.784329011395469,790.9155058080552,0.8934426229508197,0.7868852459016393,0.8401639344262295,True,Increase green space,4.599999324646247,52.29999832626314
Amsterdam,1977,1623,30.956665,0.012467198693291659,0.5268515757295907,6,8845.0,0.221315856317194,0.6197437180755435,6330.0,7.675169196710942,4.790324898248166,1321.4135021018924,0.924863387978142,0.8661202185792349,0.8954918032786885,True,Increase green space,4.639995420417649,52.20999541744024
Amsterdam,1977,1626,33.210003,0.023828706076306005,0.8879501018052646,3,8175.0,0.023991106767213843,0.9930705344569956,5161.0,7.689515597752373,2.393552584240598,2156.209157041532,0.9972677595628415,0.8510928961748634,0.9241803278688525,True,Increase green space,4.634997217677018,52.26499587406336
Amsterdam,1977,1627,32.40167,0.03381722614627929,0.34630890697023403,6,8684.0,0.021575336725795067,0.4593238323539394,4801.0,7.437573422203708,4.786214095577207,1003.0892693321965,0.9863387978142076,0.860655737704918,0.9234972677595628,True,Increase green space,4.634997233114236,52.28000258494514
Amsterdam,1977,1628,30.587994,0.039861998980844374,0.34573757679006817,5,7152.0,0.02524595493954417,0.44438545347941083,3457.0,9.039505208333333,4.087236378649384,845.8037851831698,0.8989071038251366,0.8346994535519126,0.8668032786885246,True,Increase green space,4.627068909603921,52.30085121107562
