city,year,summer_mean_lst_c,avg_pixel_count
Amsterdam,2021,26.624177932739258,3305.0
Amsterdam,2022,29.64473597208659,3354.0
Amsterdam,2023,27.445383707682293,3342.3333333333335
Amsterdam,2024,27.227859497070312,3346.6666666666665
Athens,2021,40.03046798706055,1926.3333333333333
Athens,2022,38.977673848470054,1919.0
Athens,2023,40.66332753499349,1920.6666666666667
Athens,2024,42.21551005045573,1928.0
Barcelona,2021,35.91354115804037,2800.0
Barcelona,2022,38.22586313883463,2806.3333333333335
Barcelona,2023,37.309181213378906,2801.3333333333335
Barcelona,2024,35.53021240234375,2805.0
Berlin,2021,29.416945775349934,11575.666666666666
Berlin,2022,30.9202938079834,11699.666666666666
Berlin,2023,28.987234115600586,11361.0
Berlin,2024,29.558529535929363,11700.666666666666
Budapest,2021,33.04567527770996,7560.0
Budapest,2022,37.580810546875,7560.0
Budapest,2023,33.486052831014,7559.0
Budapest,2024,34.69217872619629,7560.0
Lisbon,2021,36.671122233072914,4341.0
Lisbon,2022,38.78623708089193,4345.333333333333
Lisbon,2023,38.917975107828774,4344.0
Lisbon,2024,37.169289906819664,4339.0
Madrid,2021,41.543050130208336,8343.333333333334
Madrid,2022,44.09100850423177,8334.333333333334
Madrid,2023,43.74016825358073,8331.666666666666
Madrid,2024,42.726966857910156,8332.0
Milan,2021,34.14498774210612,3594.0
Milan,2022,37.885318756103516,3594.0
Milan,2023,34.244955698649086,3594.0
Milan,2024,34.48062260945638,3585.3333333333335
Prague,2021,28.538185755411785,7156.0
Prague,2022,28.549192428588867,7171.0
Prague,2023,30.843976974487305,7185.333333333333
Prague,2024,30.79650052388509,7039.0
Vienna,2021,31.192991892496746,11473.333333333334
Vienna,2022,32.458422342936196,11345.333333333334
Vienna,2023,32.16038958231608,11465.333333333334
Vienna,2024,32.858673731486,11443.333333333334
